הזמנה ותאריך,,קטלוג מוצר ראשי,,,,,,,,,,,,מותג מוצר ראשי,,גודל ומחיר מוצר ראשי,,,,ערכים תזונתיים- מוצר ראשי,,,,,,,,,,קטלוג מוצר חליפי,,,,,,,,,,,,מותג מוצר חליפי,,גודל ומחיר מוצר חליפי,,,,ערכים תזונתיים מוצר חליפי,,,,,,,,,,האם לקוח אישר(1 אישר 0 לא אישר) הY
OrderNumber,TransactionDate,DepartmentCode,DepartmentName,CategoryCode,CategoryName,GroupCode,GroupName,SubGroupCode,SubGroupName,CompoundID,CompoundIDDesc,ParentProductNumber,ProductDescription,BrandIndDesc,BrandName,UnitOfMeasure,ItemsPerPackageWH,DescriptionTavit,Price,Energy,Pachmema,Natran,Helbon,Shuman,ShumanRavuy,ShumanTrans,Colastrol,SivimTzunatim,CafiotSucar,DepartmentCodeSubs,DepartmentNameSusb,CategoryCodeSubs,CategoryNameSubs,GroupCodeSubs,GroupNameSubs,SubGroupCodeSubs,SubGroupNameSubs,CompoundIDSubs,CompoundIDDescSubs,ProductNumberSubs,ProductDescriptionSub,BrandIndDesc,BrandName,UnitOfMeasureSubs,ItemsPerPackageWHSubs,DescriptionTavit,PriceSubs,EnergySubs,PachmemaSubs,NatranSubs,HelbonSubs,ShumanSubs,ShumanRavuySubs,ShumanTransSubs,ColastrolSubs,SivimTzunatimSubs,CafiotSucarSusb,CorrelateItemStatusCode
20,22/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,-7.2901E+12,שוקולד פרה60% מריר2*100ג,7.2901E+12,שוקולד פרה60% מריר2*100ג,פרה,לא מותג פרטי,0.2,6,2 * 100 גרם,14.5,544,43,?,6.6,37,22,0.5,?,?,9.75,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,2,שוקולד עם תוספות,-7.2901E+12,שוקולד מריר 60%קקאו100ג,7.2901E+12,שוקולד מריר 60%קקאו100ג,פרה,לא מותג פרטי,0.1,12,100 גרם,14.5,544,43,?,6.6,37,22,0.5,?,?,9.75,1
21,21/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,-7.2901E+12,שוקולד פרה60% מריר2*100ג,7.2901E+12,שוקולד פרה60% מריר2*100ג,פרה,לא מותג פרטי,0.2,6,2 * 100 גרם,14.5,544,43,?,6.6,37,22,0.5,?,?,9.75,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,2,שוקולד עם תוספות,-7.2901E+12,שוקולד מריר 60%קקאו100ג,7.2901E+12,שוקולד מריר 60%קקאו100ג,פרה,לא מותג פרטי,0.1,12,100 גרם,14.5,544,43,?,6.6,37,22,0.5,?,?,9.75,1
22,21/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,37743,שוקולד מריר ורד הגליל 5 * 100 גרם,7.29011E+12,שוקולד מריר 5*100 גרם,ורד הגליל,לא מותג פרטי,0.5,20,5 * 100 גרם,12.9,536,64.4,?,5.8,28.3,18.6,0.5,?,?,14,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,26129,שוקולד חלב/מריר שופרסל 6 * 100 גרם,7.29607E+12,שוק.מריר שוויצרי 6*100ג,שופרסל,מותג פרטי,0.6,8,6 * 100 גרם,16.9,526,56,?,4.8,30,18,0.5,?,6.6,13.25,1
23,25/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,37743,שוקולד מריר ורד הגליל 5 * 100 גרם,7.29011E+12,שוקולד מריר 5*100 גרם,ורד הגליל,לא מותג פרטי,0.5,20,5 * 100 גרם,12.9,536,64.4,?,5.8,28.3,18.6,0.5,?,?,14,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,37743,שוקולד מריר ורד הגליל 5 * 100 גרם,7.29011E+12,טבלאות שוקולד מריר5*100ג,ורד הגליל,לא מותג פרטי,0.5,20,5 * 100 גרם,12.9,536,64.4,?,5.8,28.3,18.6,0.5,?,?,14,1
24,21/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,23107,שוקולד חלב/מריר פרה 3 * 100 גרם,7.2901E+12,שוקולד חלב פרה 3*100גרם,פרה,לא מותג פרטי,0.3,8,3 * 100 גרם,15.2,537,53,101,8.8,32,19.3,0.5,28,?,13.25,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,3250,שוקולד פרה 6 * 100 גרם,5197628,שוקולד חלב פרה 6*100 גרם,פרה,לא מותג פרטי,0.6,10,6 * 100 גרם,15.2,537,53,101,8.8,32,19.3,0.5,28,?,13.25,1
25,22/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,23107,שוקולד חלב/מריר פרה 3 * 100 גרם,7.2901E+12,שוקולד חלב פרה 3*100גרם,פרה,לא מותג פרטי,0.3,8,3 * 100 גרם,15.2,537,53,101,8.8,32,19.3,0.5,28,?,13.25,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,1,שוקולד ללא תוספות,23769,שוקולד פרה חלב/מריר/לבן 100 גרם,170053,שוקולד פרה חלב 100 גרם,פרה,לא מותג פרטי,0.1,24,100 גרם,15.2,537,53,101,8.8,32,19.3,0.5,28,?,13.25,1
26,22/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,-7.29607E+12,שוק.מריר60%שופרסל 2*100ג,7.29607E+12,שוק.מריר60%שופרסל 2*100ג,שופרסל,מותג פרטי,0.2,24,2 * 100 גרם,10,547,43,10,7.3,36,21,0.5,?,11,9.75,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,1,שוקולד ללא תוספות,-7.29607E+12,שוקולד מריר 60% קקאו100ג,7.29607E+12,שוקולד מריר 60% קקאו100ג,שופרסל,מותג פרטי,0.1,26,100 גרם,12.5,547,43,10,7.3,36,21,0.5,?,11,9.75,1
27,21/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,2900,שוקולד פרה 4 * 100 גרם,178134,שוקולד פרה מריר 4*100 ג,פרה,לא מותג פרטי,0.4,6,4 * 100 גרם,19.6,514,51,?,5.3,31,19.2,0.5,?,?,12.25,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,23107,שוקולד חלב/מריר פרה 3 * 100 גרם,7.2901E+12,שוק.פרה מריר 3*100 גרם,פרה,לא מותג פרטי,0.3,8,3 * 100 גרם,19.6,514,51,?,5.3,31,19.2,0.5,?,?,12.25,1
28,24/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,3250,שוקולד פרה 6 * 100 גרם,5197635,שוקולד מריר פרה 6*100 גר,פרה,לא מותג פרטי,0.6,10,6 * 100 גרם,24.9,514,51,?,5.3,31,19.2,0.5,?,?,12.25,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,2900,שוקולד פרה 4 * 100 גרם,178134,שוקולד פרה מריר 4*100 ג,פרה,לא מותג פרטי,0.4,6,4 * 100 גרם,24.9,514,51,?,5.3,31,19.2,0.5,?,?,12.25,1
29,23/02/2021,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,26129,שוקולד חלב/מריר שופרסל 6 * 100 גרם,7.29607E+12,שוק.חלב שופרסל 6*100 גרם,שופרסל,מותג פרטי,0.6,8,6 * 100 גרם,23.9,557,55,80,6.6,34,21,0.5,14,2.2,13.5,10,10-מזון יבש,6,מתוקים,699,טבלאות שוקולד,4,מאגדות שוקולד,24918,שלישיית שוקולד חלב/מריר שופרסל 100 גרם,7.29607E+12,שוקולד חלב 3*100 גרם,שופרסל,מותג פרטי,0.3,16,3 * 100 גרם,12.9,557,55,80,6.6,34,21,0.5,14,2.2,13.5,0
